start,delta_factor,rho,R,delta_0,gap,n_contractions,n_iter
warm,0.1,0.3,0.1,0.15553978397261528,5.521007657716126e-07,10,8000
warm,0.01,0.3,0.1,0.015553978397261527,6.480714969114842e-07,8,8000
warm,0.05,0.3,0.1,0.07776989198630764,1.0317473502219343e-06,9,8000
warm,0.1,0.5,0.1,0.15553978397261528,1.163107206769709e-06,16,8000
warm,0.5,0.5,0.1,0.7776989198630764,2.127778479632525e-06,18,8000
warm,0.05,0.7,0.1,0.07776989198630764,2.504744060383146e-06,27,8000
warm,0.01,0.5,0.1,0.015553978397261527,2.6142730944478387e-06,12,8000
warm,0.1,0.7,0.1,0.15553978397261528,2.634521481637009e-06,30,8000
warm,0.01,0.3,0.5,0.015553978397261527,2.844956865866166e-06,7,8000
warm,0.5,0.7,0.1,0.7776989198630764,3.0627963785168077e-06,34,8000
warm,0.5,0.3,0.1,0.7776989198630764,3.69039688541406e-06,11,8000
warm,0.05,0.3,0.5,0.07776989198630764,3.706917004242527e-06,8,8000
warm,0.01,0.5,0.5,0.015553978397261527,4.250538320427211e-06,11,8000
warm,0.01,0.7,0.1,0.015553978397261527,4.7522135231403695e-06,21,8000
warm,1.0,0.7,0.1,1.5553978397261528,4.986909357018732e-06,35,8000
warm,0.05,0.5,0.1,0.07776989198630764,5.5114313555204575e-06,13,8000
warm,0.01,0.3,1.0,0.015553978397261527,5.890601785907279e-06,6,8000
warm,0.05,0.5,0.5,0.07776989198630764,6.035758657318979e-06,13,8000
warm,0.5,0.8,0.1,0.7776989198630764,6.383702368051303e-06,51,8000
warm,0.5,0.5,0.5,0.7776989198630764,6.8873223877385925e-06,16,8000
warm,0.01,0.8,0.1,0.015553978397261527,7.842995447315815e-06,33,8000
warm,0.1,0.8,0.1,0.15553978397261528,7.940490320379467e-06,44,8000
warm,0.1,0.3,0.5,0.15553978397261528,8.151927808341952e-06,8,8000
warm,0.5,0.3,0.5,0.7776989198630764,8.958250236057452e-06,9,8000
warm,0.1,0.5,0.5,0.15553978397261528,9.08509939456792e-06,13,8000
warm,1.0,0.5,0.5,1.5553978397261528,9.091460299037735e-06,17,8000
warm,1.0,0.8,0.1,1.5553978397261528,9.347635978373958e-06,53,8000
warm,0.05,0.8,0.1,0.07776989198630764,9.955484853385599e-06,37,8000
warm,0.5,0.3,1.0,0.7776989198630764,1.0404379055639623e-05,9,8000
warm,0.05,0.3,1.0,0.07776989198630764,1.0768557824114566e-05,7,8000
warm,0.1,0.5,1.0,0.15553978397261528,1.1308753786520853e-05,13,8000
warm,0.5,0.9,0.1,0.7776989198630764,1.1480895356186238e-05,100,8000
warm,1.0,0.7,0.5,1.5553978397261528,1.306196021921835e-05,32,8000
warm,0.01,0.9,0.1,0.015553978397261527,1.3343599654103144e-05,63,8000
warm,0.5,0.5,1.0,0.7776989198630764,1.422753458046877e-05,15,8000
warm,1.0,0.5,1.0,1.5553978397261528,1.466040264630486e-05,16,8000
warm,0.05,0.9,0.1,0.07776989198630764,1.5168170143020632e-05,80,8000
warm,0.05,0.7,0.5,0.07776989198630764,1.5442722590464086e-05,23,8000
warm,1.0,0.9,0.1,1.5553978397261528,1.62454621153163e-05,108,8000
warm,0.1,0.9,0.1,0.15553978397261528,1.8513991134838648e-05,81,8000
warm,0.1,0.3,1.0,0.15553978397261528,1.8807905835194205e-05,7,8000
warm,0.05,0.5,1.0,0.07776989198630764,2.188355842358547e-05,11,8000
warm,0.01,0.5,1.0,0.015553978397261527,2.2713353162728822e-05,9,8000
warm,0.01,0.7,0.5,0.015553978397261527,2.4476696267816678e-05,18,8000
warm,0.5,0.8,0.5,0.7776989198630764,2.642046011147592e-05,43,8000
warm,1.0,0.3,1.0,1.5553978397261528,2.713623044048319e-05,9,8000
warm,0.01,0.3,5.0,0.015553978397261527,2.745180247831769e-05,5,8000
