dataset,i_mid,gap,rho_per_iter,iters_per_decade
diabetes,1.4142135623730951,0.5910481262257413,0.9447876636398472,40.54198789456171
diabetes,2.449489742783178,0.5584149782755277,0.9525692052206903,47.38558891975894
diabetes,3.4641016151377544,0.5319289120392484,0.9578341057680624,53.44820273456931
diabetes,4.47213595499958,0.5094996537952918,0.9619323073217102,59.32785503009706
diabetes,5.477225575051661,0.4901041775549176,0.9653224845261457,65.2418797047933
diabetes,6.928203230275509,0.47310858235395625,0.969218851218504,73.6477492703485
diabetes,8.94427190999916,0.4444311915308959,0.9731200181628861,84.50518482932017
diabetes,10.954451150103322,0.4208597032088564,0.9761016163335108,95.19305464050674
diabetes,13.416407864998739,0.4009843366509929,0.9789093359895611,108.02017912153282
diabetes,16.431676725154983,0.3761445899528479,0.9813685313427962,122.4309058882982
diabetes,20.346989949375804,0.35550949384326175,0.9837824940091905,140.8270248592581
diabetes,25.37715508089904,0.3276020826678307,0.9859940280453209,163.2462368432122
diabetes,31.304951684997057,0.3052938647017802,0.9877480046961127,186.78186073701298
diabetes,39.242833740697165,0.2800536285536498,0.9894014889951042,216.10218986472418
diabetes,48.744230427815765,0.2544451871656255,0.9907687916174291,248.28177952605606
diabetes,60.149812967290266,0.23190890365854297,0.9919016750659864,283.17571042756276
diabetes,74.1215218408257,0.20864574411470876,0.9929099089792457,323.6083482125527
diabetes,91.45490692138941,0.1875241490854293,0.9940497757175469,385.8220667398262
diabetes,112.91589790636215,0.16642548706974417,0.9950874266622812,467.5603769856436
diabetes,139.19410907075056,0.14860325719333659,0.996057186384376,582.8433692903579
diabetes,172.06103568210904,0.1319947093800145,0.9966602219259119,688.2906098965909
diabetes,212.31109250343,0.11701809821049307,0.9971433616183822,804.895261941849
diabetes,262.5109521524769,0.10288336029047421,0.9975840605769695,951.9288839342504
diabetes,324.2221460665511,0.0898498210365242,0.9980690412290348,1191.3052277445215
diabetes,399.7999499749844,0.0787838076526625,0.9985155677879899,1550.0038570323861
diabetes,493.71651785209696,0.06954141977030813,0.9988117322525054,1936.614692227673
diabetes,609.6498995325104,0.06137976629938669,0.9989790775752863,2254.2452362760987
diabetes,752.3111058598032,0.05385716340186904,0.9990599562874137,2448.2932306412513
diabetes,928.3943127787891,0.04637674613691911,0.9991067638982656,2576.649733808731
diabetes,1145.6277755012752,0.03896014864834985,0.9992557790150589,3092.8020267891466
diabetes,1413.722037742922,0.03253676773817,0.9993778054655921,3699.596450085935
diabetes,1744.322217940252,0.027045522806143613,0.9994736940425409,4373.8420116252755
diabetes,2153.0666501527535,0.02228223887795239,0.9994965335596186,4572.311523763025
diabetes,2657.2888439159187,0.017728235160308945,0.9995458000255014,5068.388959942942
diabetes,3278.899815486896,0.013746012868158918,0.9995604017530878,5236.7791862009
diabetes,4046.083291283065,0.010148839143407274,0.9995625897106701,5262.979690291888
diabetes,4993.372107103575,0.006987806677388297,0.9996194245005873,6049.120122061514
diabetes,6161.916503816,0.004681998728958344,0.9996668639547212,6910.694796543447
diabetes,7603.927603548051,0.003038130833899372,0.999758569976479,9536.126003076926
diabetes,9383.577569349549,0.0020635439624798776,0.9998421062142601,14581.975443058438
diabetes,11579.460781918991,0.0015102032041325764,0.9998962886242136,22200.70528752057
diabetes,14289.410834600565,0.001172665133929649,0.9999319635946771,33842.27534318714
diabetes,17633.488367308382,0.0009554378756621111,0.9999579127559619,54708.6579449073
diabetes,21759.621687887866,0.0008171759478536716,0.9999562027140364,52572.54230435229
diabetes,26851.938254062778,0.0006685313387288936,0.9999495814506104,45668.25253567767
diabetes,33135.71579127271,0.0005026320293254822,0.9999458505002267,42521.588567834944
diabetes,40889.79343308058,0.00034442784095397493,0.999959692401922,57124.18493373342
diabetes,50458.84876808031,0.000243390697457579,0.9999600592920971,57648.93088137649
diabetes,62267.05396917378,0.00015918861493512444,0.9999555087949963,51752.562557682846
