algorithm,iteration,gap,record_gap,time_s
IRLS,0,4.231708e-01,4.231708e-01,0.000000e+00
IRLS,1,7.059999e-02,7.059999e-02,7.683301e-05
IRLS,2,2.484601e-02,2.484601e-02,1.321250e-04
IRLS,3,1.176563e-02,1.176563e-02,1.846250e-04
IRLS,4,6.450048e-03,6.450048e-03,2.330410e-04
IRLS,5,3.869830e-03,3.869830e-03,2.790000e-04
IRLS,6,2.473720e-03,2.473720e-03,3.235830e-04
IRLS,7,1.658619e-03,1.658619e-03,3.629160e-04
IRLS,8,1.155034e-03,1.155034e-03,4.059580e-04
IRLS,9,8.299399e-04,8.299399e-04,4.503750e-04
IRLS,10,6.124729e-04,6.124729e-04,4.929160e-04
IRLS,11,4.625871e-04,4.625871e-04,5.698750e-04
IRLS,12,3.565761e-04,3.565761e-04,6.287500e-04
IRLS,13,2.798710e-04,2.798710e-04,6.743750e-04
IRLS,14,2.232345e-04,2.232345e-04,7.153750e-04
IRLS,15,1.806496e-04,1.806496e-04,7.557500e-04
IRLS,16,1.481027e-04,1.481027e-04,7.952500e-04
IRLS,17,1.228583e-04,1.228583e-04,8.348330e-04
IRLS,18,1.030151e-04,1.030151e-04,8.739160e-04
IRLS,19,8.722738e-05,8.722738e-05,9.161250e-04
IRLS,20,7.452713e-05,7.452713e-05,9.577500e-04
IRLS,21,6.420703e-05,6.420703e-05,9.974160e-04
IRLS,22,5.574305e-05,5.574305e-05,1.036875e-03
IRLS,23,4.874185e-05,4.874185e-05,1.078625e-03
IRLS,24,4.290466e-05,4.290466e-05,1.120583e-03
IRLS,25,3.800205e-05,3.800205e-05,1.160791e-03
IRLS,26,3.385602e-05,3.385602e-05,1.201083e-03
IRLS,27,3.032718e-05,3.032718e-05,1.242958e-03
IRLS,28,2.730543e-05,2.730543e-05,1.283958e-03
IRLS,29,2.470311e-05,2.470311e-05,1.324000e-03
IRLS,30,2.244988e-05,2.244988e-05,1.363666e-03
IRLS,31,2.048892e-05,2.048892e-05,1.405458e-03
IRLS,32,1.877401e-05,1.877401e-05,1.446583e-03
IRLS,33,1.726734e-05,1.726734e-05,1.486583e-03
IRLS,34,1.593780e-05,1.593780e-05,1.523916e-03
IRLS,35,1.475962e-05,1.475962e-05,1.562083e-03
IRLS,36,1.371139e-05,1.371139e-05,1.600041e-03
IRLS,37,1.277519e-05,1.277519e-05,1.638541e-03
IRLS,38,1.193598e-05,1.193598e-05,1.677666e-03
IRLS,39,1.118106e-05,1.118106e-05,1.763875e-03
IRLS,40,1.049967e-05,1.049967e-05,1.879000e-03
IRLS,41,9.882667e-06,9.882667e-06,1.931750e-03
IRLS,42,9.322229e-06,9.322229e-06,1.973916e-03
IRLS,43,8.811652e-06,8.811652e-06,2.014458e-03
IRLS,44,8.345171e-06,8.345171e-06,2.053750e-03
IRLS,45,7.917804e-06,7.917804e-06,2.093166e-03
IRLS,46,7.525237e-06,7.525237e-06,2.131583e-03
IRLS,47,7.163722e-06,7.163722e-06,2.170083e-03
IRLS,48,6.829990e-06,6.829990e-06,2.207958e-03
IRLS,49,6.521185e-06,6.521185e-06,2.246416e-03
IRLS,50,6.234800e-06,6.234800e-06,2.284166e-03
IRLS,51,5.968634e-06,5.968634e-06,2.322666e-03
IRLS,52,5.720746e-06,5.720746e-06,2.360333e-03
IRLS,53,5.489419e-06,5.489419e-06,2.398875e-03
IRLS,54,5.273134e-06,5.273134e-06,2.436416e-03
IRLS,55,5.070541e-06,5.070541e-06,2.476375e-03
IRLS,56,4.880440e-06,4.880440e-06,2.515416e-03
IRLS,57,4.701757e-06,4.701757e-06,2.555916e-03
IRLS,58,4.533536e-06,4.533536e-06,2.597083e-03
IRLS,59,4.374917e-06,4.374917e-06,2.633666e-03
IRLS,60,4.225130e-06,4.225130e-06,2.675041e-03
IRLS,61,4.083480e-06,4.083480e-06,2.717166e-03
IRLS,62,3.949344e-06,3.949344e-06,2.766958e-03
IRLS,63,3.822155e-06,3.822155e-06,2.804708e-03
IRLS,64,3.701402e-06,3.701402e-06,2.845291e-03
IRLS,65,3.586624e-06,3.586624e-06,2.886791e-03
