dataset,seed,family,c,delta0,scale,final_record_gap,n_contractions,n_iter
synthetic,42,A,0.01,1.555398e-02,1.555398e+00,4.378525e-05,15,8000
synthetic,42,A,0.05,7.776989e-02,1.555398e+00,3.253304e-05,20,8000
synthetic,42,A,0.1,1.555398e-01,1.555398e+00,4.770144e-05,22,8000
synthetic,42,A,0.5,7.776989e-01,1.555398e+00,8.874876e-05,25,8000
synthetic,42,A,1.0,1.555398e+00,1.555398e+00,5.053354e-05,27,8000
synthetic,42,B,0.01,2.641094e-03,2.641094e-01,1.461792e-04,8,8000
synthetic,42,B,0.05,1.320547e-02,2.641094e-01,2.434003e-05,16,8000
synthetic,42,B,0.1,2.641094e-02,2.641094e-01,1.709416e-04,14,8000
synthetic,42,B,0.5,1.320547e-01,2.641094e-01,6.561676e-05,20,8000
synthetic,42,B,1.0,2.641094e-01,2.641094e-01,2.650247e-05,24,8000
synthetic,42,C,0.01,1.132227e-02,1.132227e+00,1.038463e-04,13,8000
synthetic,42,C,0.05,5.661135e-02,1.132227e+00,4.390907e-05,19,8000
synthetic,42,C,0.1,1.132227e-01,1.132227e+00,3.075657e-05,22,8000
synthetic,42,C,0.5,5.661135e-01,1.132227e+00,1.363107e-04,23,8000
synthetic,42,C,1.0,1.132227e+00,1.132227e+00,3.678349e-05,28,8000
synthetic,7,A,0.01,1.505195e-02,1.505195e+00,6.874415e-05,15,8000
synthetic,7,A,0.05,7.525975e-02,1.505195e+00,7.070437e-05,19,8000
synthetic,7,A,0.1,1.505195e-01,1.505195e+00,7.223269e-05,20,8000
synthetic,7,A,0.5,7.525975e-01,1.505195e+00,5.921221e-05,26,8000
synthetic,7,A,1.0,1.505195e+00,1.505195e+00,2.408836e-05,29,8000
synthetic,7,B,0.01,2.314494e-03,2.314494e-01,4.554558e-05,9,8000
synthetic,7,B,0.05,1.157247e-02,2.314494e-01,1.158234e-04,12,8000
synthetic,7,B,0.1,2.314494e-02,2.314494e-01,6.897615e-05,16,8000
synthetic,7,B,0.5,1.157247e-01,2.314494e-01,3.821024e-05,22,8000
synthetic,7,B,1.0,2.314494e-01,2.314494e-01,5.044790e-05,22,8000
synthetic,7,C,0.01,1.105110e-02,1.105110e+00,7.564308e-05,13,8000
synthetic,7,C,0.05,5.525550e-02,1.105110e+00,9.499854e-05,16,8000
synthetic,7,C,0.1,1.105110e-01,1.105110e+00,6.323081e-05,20,8000
synthetic,7,C,0.5,5.525550e-01,1.105110e+00,8.936048e-05,24,8000
synthetic,7,C,1.0,1.105110e+00,1.105110e+00,6.137304e-05,27,8000
synthetic,123,A,0.01,1.698864e-02,1.698864e+00,6.527530e-05,15,8000
synthetic,123,A,0.05,8.494321e-02,1.698864e+00,6.070672e-05,20,8000
synthetic,123,A,0.1,1.698864e-01,1.698864e+00,4.000918e-05,22,8000
synthetic,123,A,0.5,8.494321e-01,1.698864e+00,1.235106e-04,24,8000
synthetic,123,A,1.0,1.698864e+00,1.698864e+00,4.010811e-05,29,8000
synthetic,123,B,0.01,2.316166e-03,2.316166e-01,1.056608e-04,7,8000
synthetic,123,B,0.05,1.158083e-02,2.316166e-01,6.386055e-05,14,8000
synthetic,123,B,0.1,2.316166e-02,2.316166e-01,7.154360e-05,15,8000
synthetic,123,B,0.5,1.158083e-01,2.316166e-01,5.686706e-05,20,8000
synthetic,123,B,1.0,2.316166e-01,2.316166e-01,4.451333e-05,23,8000
synthetic,123,C,0.01,1.289197e-02,1.289197e+00,6.858982e-05,15,8000
synthetic,123,C,0.05,6.445984e-02,1.289197e+00,6.733630e-05,18,8000
synthetic,123,C,0.1,1.289197e-01,1.289197e+00,6.163496e-05,21,8000
synthetic,123,C,0.5,6.445984e-01,1.289197e+00,2.244065e-05,27,8000
synthetic,123,C,1.0,1.289197e+00,1.289197e+00,3.898413e-05,28,8000
synthetic,2024,A,0.01,1.696035e-02,1.696035e+00,4.336157e-05,15,8000
synthetic,2024,A,0.05,8.480175e-02,1.696035e+00,1.228989e-04,18,8000
synthetic,2024,A,0.1,1.696035e-01,1.696035e+00,7.288609e-05,21,8000
synthetic,2024,A,0.5,8.480175e-01,1.696035e+00,5.293941e-05,27,8000
synthetic,2024,A,1.0,1.696035e+00,1.696035e+00,4.432558e-05,29,8000
synthetic,2024,B,0.01,2.415631e-03,2.415631e-01,1.039845e-04,8,8000
synthetic,2024,B,0.05,1.207816e-02,2.415631e-01,4.940140e-05,14,8000
synthetic,2024,B,0.1,2.415631e-02,2.415631e-01,9.083368e-05,15,8000
synthetic,2024,B,0.5,1.207816e-01,2.415631e-01,5.311708e-05,21,8000
synthetic,2024,B,1.0,2.415631e-01,2.415631e-01,9.145553e-05,21,8000
synthetic,2024,C,0.01,1.297903e-02,1.297903e+00,2.464790e-04,11,8000
synthetic,2024,C,0.05,6.489513e-02,1.297903e+00,5.945672e-05,19,8000
