dataset,rho,gap,sparsity_1e3,f_w0,f_star,test_mse
synthetic,0.3,5.412720627262502e-07,0.6875,2.1689257878327917,1.791452105545897,
synthetic,0.5,1.8180460070738036e-07,0.6875,2.1689257878327917,1.791452105545897,
synthetic,0.6,7.306377769467076e-08,0.6875,2.1689257878327917,1.791452105545897,
synthetic,0.7,4.830136246525285e-08,0.6875,2.1689257878327917,1.791452105545897,
synthetic,0.8,3.3535437093945575e-08,0.6875,2.1689257878327917,1.791452105545897,
synthetic,0.9,4.7694949962817645e-06,0.6875,2.1689257878327917,1.791452105545897,
synthetic,0.95,0.0007888001208822271,0.6375,2.1689257878327917,1.791452105545897,
diabetes,0.3,53.96262036096532,0.115,60.03337018828902,54.09248119032793,1.0872775030036443
diabetes,0.5,54.11402685708333,0.115,60.03337018828902,54.09248119032793,1.107531272232392
diabetes,0.6,54.14133972317478,0.105,60.03337018828902,54.09248119032793,1.1095243364866791
diabetes,0.7,54.15698724082171,0.11,60.03337018828902,54.09248119032793,1.1135171066050298
diabetes,0.8,54.23973395171459,0.09,60.03337018828902,54.09248119032793,1.1230065026625728
diabetes,0.9,54.207733795452455,0.1,60.03337018828902,54.09248119032793,1.1185900306290852
diabetes,0.95,54.296976517887856,0.08,60.03337018828902,54.09248119032793,1.1253573797671828
california,0.3,2358.1579838234065,0.025,2358.479170325769,2358.1579838234065,0.30727543484891284
california,0.5,2358.3679233690327,0.005,2358.479170325769,2358.3679233690327,0.30707958826028775
california,0.6,2358.4707689639563,0.01,2358.479170325769,2358.4707689639563,0.30692568077392235
california,0.7,2358.1061936595843,0.03,2358.479170325769,2358.1061936595843,0.30719357807017483
california,0.8,2358.107284846896,0.025,2358.479170325769,2358.107284846896,0.3071380702227237
california,0.9,2358.117925815698,0.025,2358.479170325769,2358.117925815698,0.3070971314138088
california,0.95,2358.122050769248,0.025,2358.479170325769,2358.122050769248,0.30711857514801455
